Region,District , 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE ,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE ,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL, 20+  (B/S &RDT) FEMALE , 20+  (B/S &RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Karamoja,Abim District,2,5,7,13939,6695,20634,15856,7109,22965,7006,5270,12276,15415,13468,28883,2,5,7,5,6564,6569,15352,6805,22157,14961,13081,28042,6903,5160,12063,2,4,6,13325,6427,19752,119726,268332,388058,14589,12773,27362,6710,5033,11743,674,1323,1997,52218,32547,84765,16598,13473,30071,107966,144084,2301,1.029278437,132134.7761,57.42493529,2.7067,33.6595
Acholi,Acholi,368,310,678,246462,132169,378631,228667,82226,310893,112043,87522,199565,131628,124808,256436,234,190,424,190,126860,127050,207769,73865,281634,124793,118285,243078,106957,83803,190760,225,189,414,235560,126902,362462,1593428,3410028,5003456,126070,118347,244417,106912,83896,190808,8552,17185,25737,719168,427035,1146203,195698,125118,320816,1500762,2044355,28522,1.031393639,1863300.782,65.32854577,,
West Nile,Adjumani District,24,15,39,63279,44827,108106,60259,26891,87150,37122,29949,67071,45284,42358,87642,12,13,25,13,43442,43455,56951,25619,82570,43590,40939,84529,35920,29501,65421,12,12,24,61216,43362,104578,509104,1050410,1559514,43501,40583,84084,35651,28580,64231,1226,3460,4686,205968,144040,350008,44392,42373,86765,107966,144084,2301,1.029278437,132134.7761,57.42493529,3.2549,31.7195
Acholi,Agago District,25,21,46,40202,20974,61176,38604,11565,50169,16133,12026,28159,18736,17591,36327,19,19,38,19,20462,20481,36406,11134,47540,18095,17080,35175,15710,11723,27433,18,19,37,38999,20410,59409,244108,519974,764082,18492,17124,35616,15620,11751,27371,1154,2459,3613,113700,62177,175877,35020,17612,52632,227792,307235,3493,1.03037004,280860.7314,80.40673672,2.9251, 33.3486
Lango,Alebtong District,50,32,82,18176,8163,26339,24600,6883,31483,11431,8883,20314,15520,14135,29655,50,32,82,32,8111,8143,24420,6816,31236,15491,14097,29588,11399,8848,20247,49,32,81,17935,8038,25973,151778,325287,477065,15231,13818,29049,11292,8757,20049,1121,2262,3383,69777,38096,107873,4579,14167,18746,227541,283509,1534,1.022234935,265408.4183,173.0172218,2.2914,33.2139
Lango,Amolatar District,3,5,8,13572,8032,21604,15140,6861,22001,7990,7019,15009,7601,7285,14886,3,5,8,5,8032,8037,15040,6860,21900,7601,7275,14876,7990,7019,15009,3,5,8,13364,7951,21315,102416,212663,315079,7536,7213,14749,7928,6953,14881,430,818,1248,44306,29202,73508,3891,7290,11181,147166,188715,1163,1.025179454,175148.6284,150.6007123,1.6054,32.8084
Karamoja,Amudat District,11,3,14,2942,2409,5351,5239,2181,7420,2678,2342,5020,4487,4121,8608,10,1,11,1,2321,2322,4664,2024,6688,4294,3925,8219,2608,2296,4904,10,1,11,2722,2311,5033,36334,84069,120403,4181,3853,8034,2586,2266,4852,163,368,531,15357,11056,26413,4409,4124,8533,105769,203358,1616,1.067555067,167143.8505,103.4306006,1.7916,34.9066
Teso,Amuria District,25,20,45,19750,8627,28377,19801,6933,26734,8714,6137,14851,7704,7397,15101,23,18,41,18,8566,8584,19399,6857,26256,7575,7288,14863,8636,6107,14743,23,18,41,19209,8450,27659,114612,247488,362100,7498,7200,14698,8536,6020,14556,728,1326,2054,55994,29114,85108,14656,7417,22073,183348,251653,1383,1.032173235,228846.53,165.471099,2.0302,33.6428
Acholi,Amuru District,11,11,22,26380,13275,39655,24407,9129,33536,12013,9420,21433,14648,13927,28575,11,10,21,10,12986,12996,22529,8402,30931,14178,13478,27656,11757,9150,20907,10,10,20,25104,12815,37919,173004,368167,541171,13974,13297,27271,11640,9050,20690,768,1352,2120,77459,45762,123221,21563,13938,35501,186696,247574,3619,1.028624826,227475.1853,62.85581245,3.1042,32.0837
Ankole,Ankole,109,81,190,76663,61300,137963,128784,80583,209367,36623,30960,67583,35235,32390,67625,85,58,143,58,58828,58886,117923,73939,191862,32967,30226,63193,34958,29330,64288,79,55,134,70604,57177,127781,510792,1271023,1781815,32654,30019,62673,34148,28677,62825,1298,4247,5545,277414,205314,482728,43481,32471,75952,2895631,3608968,15067,1.022266152,3378244.568,224.2148117,,
Lango,Apac District,17,9,26,13082,6459,19541,17579,8662,26241,4359,3405,7764,5179,4642,9821,13,6,19,6,6355,6361,16973,8257,25230,5038,4509,9547,4299,3363,7662,13,6,19,12828,6348,19176,72808,179870,252678,5015,4489,9504,4293,3355,7648,706,1518,2224,40216,23177,63393,14332,4651,18983,185322,221962,1783,1.018204859,210267.9759,117.9293191,1.8445,32.4014
West Nile,Arua City,31,74,105,12730,7367,20097,21367,11162,32529,6310,5169,11479,8427,8325,16752,32,35,67,35,6730,6765,22033,9757,31790,7862,7764,15626,5851,4626,10477,26,10,36,12263,7049,19312,90902,235945,326847,8110,7962,16072,6064,4811,10875,1576,3338,4914,48865,32097,80962,10299,8399,18698,309052,384656,404,1.022125199,360213.6992,891.6180672,3.0274,30.9071
West Nile,Arua District,2,7,9,7842,4172,12014,7076,3080,10156,3554,2712,6266,2964,2858,5822,2,7,9,7,4074,4081,6838,2988,9826,2900,2751,5651,3466,2640,6106,2,7,9,7766,4139,11905,47342,110065,157407,2949,2825,5774,9424,2669,12093,337,548,885,21438,12829,34267,4027,2865,6892,133534,159722,800,1.018069175,151367.5827,189.2094783,3.0018,30.9876
Bukedi,Budaka District,13,5,18,11742,4857,16599,16516,3826,20342,10501,7745,18246,15551,13566,29117,13,5,18,5,4828,4833,16379,3765,20144,15500,13487,28987,10417,7722,18139,13,5,18,11493,4743,16236,126760,269904,396664,15173,13222,28395,10284,7592,17876,776,1520,2296,54323,29999,84322,4126,13571,17697,207597,281537,410,1.030935371,256945.5833,626.6965447,1.1005,34.0196
Bugisu,Bududa District,0,1,1,3119,2037,5156,4818,2994,7812,1123,1069,2192,1410,1377,2787,0,1,1,1,2025,2026,4797,2959,7756,1380,1343,2723,1109,1055,2164,0,1,1,2999,1975,4974,19724,47907,67631,1334,1307,2641,1081,1031,2112,294,414,708,10470,7478,17948,1089,1378,2467,210173,26897,318,0.814165494,49838.5923,156.725133,1.003,34.3338
Busoga,Bugiri District,62,33,95,14633,7724,22357,24941,9901,34842,13380,10611,23991,18442,16720,35162,61,32,93,32,7697,7729,24789,9830,34619,18402,16677,35079,13344,10582,23926,61,32,93,14478,7644,22122,162440,365895,528335,18143,16414,34557,13238,10500,23738,1128,2339,3467,71458,44989,116447,9477,16753,26230,382913,480345,1033,1.022928589,448763.2922,434.4271947,0.5316, 33.7518
Bugisu,Bugisu,252,188,440,55839,35698,91537,101701,59699,161400,30253,24375,54628,45024,39420,84444,240,185,425,185,34124,34309,95477,54281,149758,43011,37691,80702,29000,23320,52320,240,185,425,52405,33798,86203,439300,1115423,1554723,42692,37296,79988,28696,23139,51835,4481,7430,11911,233069,159380,392449,43057,39608,82665,1469892,1827757,2447,1.022029197,1712097.712,699.6721342,1.0783,34.1737
Busoga,Bugweri District,11,8,19,11559,6409,17968,19515,8065,27580,7901,6431,14332,11031,10163,21194,11,8,19,8,6367,6375,19352,7989,27341,10990,10117,21107,7931,6386,14317,11,8,19,11414,6331,17745,106376,251448,357824,10860,9993,20853,7800,6329,14129,844,1490,2334,50017,31076,81093,14630,10171,24801,164886,211511,302,1.025214919,196285.4942,649.9519675,0.6116,33.5952
Ankole,Buhweju District,0,0,0,430,415,845,644,547,1191,299,169,468,202,161,363,0,0,0,0,412,412,642,543,1185,202,161,363,297,169,466,0,0,0,421,406,827,3312,7651,10963,201,161,362,296,169,465,4,16,20,1575,1292,2867,223,161,384,12072,167921,751,1.301165617,76226.72766,101.5003031,0.3558,30.3897
North Central,Buikwe District,44,18,62,17115,14064,31179,31039,20409,51448,11158,8763,19921,15491,13924,29415,36,17,53,17,11256,11273,27397,18939,46336,14442,12928,27370,10618,8344,18962,35,17,52,15735,11142,26877,146522,379420,525942,14258,12766,27024,10496,8224,18720,983,2238,3221,74847,57178,132025,17440,13942,31382,422771,520158,1270,1.020946558,488794.4368,384.8775093,0.2827, 33.0339
Teso,Bukedea District,14,13,27,9429,4294,13723,15754,5672,21426,4005,2732,6737,5581,5020,10601,14,13,27,13,4272,4285,15597,5648,21245,5541,5008,10549,4002,2730,6732,14,13,27,9302,4227,13529,61674,155901,217575,5385,4890,10275,3910,2687,6597,1050,2468,3518,34783,17731,52514,10093,5033,15126,203600,282864,1032,1.033427444,256293.5679,248.3464805,1.3557,34.1087
Bukedi,Bukedi,187,167,354,124341,66581,190922,185386,66730,252116,95192,74681,169873,128351,115093,243444,170,156,326,156,65604,65760,180215,64912,245127,125908,112732,238640,93926,73927,167853,172,158,330,120541,64497,185038,1183722,2616171,3799893,124283,111592,235875,92579,72725,165304,5848,11421,17269,533457,323252,856709,65857,115260,181117,1881415,2372489,4504,1.023462561,2213035.221,491.3488502,,
South Central,Bukomansimbi District,4,1,5,3616,3156,6772,5218,2924,8142,2400,2257,4657,2866,2824,5690,4,59,63,59,3152,3211,5206,2921,8127,2871,2826,5697,2398,2250,4648,4,1,5,3618,3145,6763,34226,75105,109331,2875,2821,5696,2426,2268,4694,79,325,404,14104,11162,25266,2985,2825,5810,151413,197568,600,1.026964294,182410.81,304.0180166,0.1433,31.6055
Bugisu,Bukwo District,0,0,0,2206,1847,4053,2655,2462,5117,1333,1192,2525,1070,953,2023,0,0,0,0,1576,1576,2061,2001,4062,868,769,1637,1119,999,2118,0,0,0,1785,1532,3317,14144,36026,50170,851,763,1614,1105,993,2098,76,124,200,7264,6454,13718,766,953,1719,89356,114396,525,1.025011439,106224.5019,202.3323845,1.2819,34.7299
Bugisu,Bulambuli District,4,7,11,4273,2425,6698,8610,4657,13267,2269,1530,3799,2709,2603,5312,4,7,11,7,2289,2296,8184,4411,12595,2505,2398,4903,2103,1437,3540,4,7,11,4030,2305,6335,29578,81366,110944,2563,2467,5030,2151,1465,3616,394,712,1106,17865,11222,29087,3688,2610,6298,174513,235391,695,1.030377121,215179.668,309.6110331,1.4815,34.2866
Bunyoro,Buliisa District,2,2,4,10155,5435,15590,11557,4807,16364,6937,5645,12582,10871,10341,21212,2,2,4,2,5034,5036,10066,4236,14302,9937,9463,19400,6354,5187,11541,1,2,3,9598,4994,14592,91072,210900,301972,9858,9252,19110,6376,5160,11536,873,1949,2822,39522,26230,65752,12460,10343,22803,113161,167894,1367,1.040240696,149153.5712,109.1101472,1.8992,31.3542
Tooro,Bundibugyo District,39,25,64,14986,8470,23456,28669,14372,43041,9003,6575,15578,11791,10313,22104,38,137,175,137,8344,8481,28169,14121,42290,11672,10176,21848,8884,6496,15380,38,25,63,14850,8397,23247,121076,297102,418178,11729,10211,21940,8927,6523,15450,649,1240,1889,64488,39755,104243,10058,10338,20396,224387,264778,850,1.016689692,251951.3187,296.4133162,0.6852, 30.0203
Tooro,Bunyangabu District,5,0,5,2210,1953,4163,3535,2766,6301,1193,1054,2247,1283,1252,2535,6,7,13,7,1840,1847,3310,2606,5916,1179,1161,2340,1150,1006,2156,6,0,6,1932,1718,3650,16304,41381,57685,1108,1124,2232,1084,938,2022,66,151,217,8226,7025,15251,1937,1252,3189,170247,219012,466,1.025507508,203072.6229,435.7781606,0.4871,30.2051
Bunyoro,Bunyoro,187,120,307,82318,51529,133847,114175,60677,174852,48851,35898,84749,71861,63768,135629,107,96,203,96,48683,48779,106182,54428,160610,64624,59363,123987,41543,33712,75255,122,102,224,77694,81994,159688,718308,1586822,2305130,64501,59366,123867,41980,34095,76075,6624,14567,21191,317392,211992,529384,85788,63888,149676,2028545,2792732,16580,1.032486689,2537323.705,153.0352053,,
Ankole,Bushenyi District,1,1,2,3785,3700,7485,5362,3778,9140,1426,1281,2707,1066,1021,2087,1,1,2,1,3640,3641,5060,3481,8541,1037,996,2033,1396,1251,2647,1,1,2,3648,3600,7248,23860,53790,77650,1025,988,2013,1374,1232,2606,59,172,231,11640,9781,21421,1248,1022,2270,234443,283392,845,1.019142779,267721.0326,316.8296243,0.4875,30.1127
Bukedi,Busia District,37,23,60,26108,15751,41859,43824,19375,63199,16144,12730,28874,24129,22636,46765,31,19,50,19,15670,15689,42438,19190,61628,23935,22395,46330,16159,12690,28849,31,19,50,25602,15503,41105,232668,551172,783840,23915,22268,46183,16115,12642,28757,1175,2051,3226,110242,70515,180757,33326,22659,55985,323662,412671,729,1.024592621,383663.3188,526.2871315,0.4045,34.0196
Busoga,Busoga,550,344,894,226136,125602,351738,414857,193383,608240,152472,116145,268617,245207,214054,459261,502,294,796,294,122312,122606,402648,185745,588393,239260,209133,448393,149330,113151,262481,496,290,786,218995,120774,339769,2102858,5183386,7286244,236412,206510,442922,147459,111730,259189,22073,43619,65692,1039222,649528,1688750,270280,214398,484678,3583196,4363295,9443,1.019892507,4112930.519,435.5533748,,
Bukedi,Butaleja District,11,8,19,15273,8170,23443,23395,8194,31589,13478,10801,24279,18624,16937,35561,7,5,12,5,7719,7724,20967,7443,28410,17197,15568,32765,12688,10430,23118,8,6,14,14080,7690,21770,155334,350844,506178,16987,15517,32504,12793,10428,23221,578,1206,1784,70781,44110,114891,6044,16945,22989,244153,312771,655,1.025076887,290373.6171,443.3184994,,
South Central,Butambala District,0,4,4,5122,4810,9932,5936,3672,9608,2420,2441,4861,2391,2220,4611,0,2,2,2,4491,4493,5220,3323,8543,2121,1963,4084,2208,2262,4470,0,2,2,4526,4399,8925,34962,79348,114310,2091,1933,4024,2157,2216,4373,101,367,468,15869,13147,29016,3586,2224,5810,10084,146516,405,1.306848434,65646.16932,162.089307,0.1742,32.1065
Bukedi,Butebo District,26,27,53,10547,4945,15492,14872,4859,19731,8377,6177,14554,9502,8436,17938,26,27,53,27,4931,4958,14782,4839,19621,9486,8408,17894,8362,6165,14527,25,27,52,10088,4432,14520,93986,203558,297544,9103,8134,17237,7668,5574,13242,275,768,1043,43324,24444,67768,4978,8463,13441,111762,171433,236,1.043710436,150783.683,638.9139111,1.2393,33.83
North Central,Buvuma District,1,2,3,2844,1663,4507,5993,3253,9246,1885,1532,3417,3456,3054,6510,1,2,3,2,1637,1639,5820,3161,8981,3360,2941,6301,1855,1513,3368,1,2,3,2819,1646,4465,28274,71934,100208,3393,2994,6387,1867,1510,3377,226,455,681,14179,9504,23683,3678,3056,6734,8989,110832,296,1.285568963,52164.97857,176.2330357,0.3765,33.2588
Busoga,Buyende District,57,49,106,8446,4311,12757,14990,6982,21972,5733,4484,10217,12751,12098,24849,57,49,106,49,4314,4363,15233,6981,22214,12749,12099,24848,5733,4484,10217,57,49,106,8445,4311,12756,95854,246139,341993,12751,12090,24841,5733,4484,10217,2784,4775,7559,41977,27924,69901,21103,12147,33250,323067,403486,1379,1.022477093,377457.1956,273.7180534,1.2414,33.1239
Lango,Dokolo District,14,10,24,20098,8711,28809,24031,6910,30941,10773,8063,18836,14315,12315,26630,14,9,23,9,8143,8152,22332,6194,28526,13490,11588,25078,10163,7599,17762,14,8,22,18602,7961,26563,138850,313441,452291,13342,11397,24739,9939,7342,17281,1416,2282,3698,69231,36009,105240,11525,12325,23850,183093,215625,1004,1.016489126,205300.9225,204.4829906,1.9131,33.1717
Tooro,Fort Portal City,7,6,13,969,815,1784,2387,1839,4226,550,460,1010,622,531,1153,8,14,22,14,762,776,2055,1719,3774,562,488,1050,499,447,946,8,4,12,877,764,1641,7298,21391,28689,557,494,1051,504,439,943,42,138,180,4535,3651,8186,671,537,1208,10224,137549,127,1.296831825,63067.62235,496.5954516,0.6546,30.2801
South Central,Gomba District,3,0,3,5003,4084,9087,7448,5610,13058,2571,2212,4783,2156,2012,4168,3,0,3,0,3731,3731,6646,4989,11635,1951,1831,3782,2294,1967,4261,3,0,3,4998,4082,9080,34252,321845,356097,2153,120894,123047,2571,2212,4783,141,460,601,17181,13918,31099,2785,2012,4797,159922,19912,1670,0.811933886,37200.85164,22.27595906,0.223,31.6739
Acholi,Gulu City,147,149,296,9645,6377,16022,18585,11034,29619,5755,5126,10881,8412,8186,16598,50,52,102,52,4593,4645,10617,5821,16438,5805,5617,11422,4311,3734,8045,49,51,100,7003,4405,11408,61950,201565,263515,5614,5556,11170,4075,3586,7661,647,1573,2220,42544,30872,73416,12631,8335,20966,185042,233271,222,1.023432122,217612.3906,980.2359936,2.7743,32.2882
Acholi,Gulu District,9,6,15,21288,10150,31438,19811,6445,26256,9564,7217,16781,11003,10114,21117,9,6,15,6,8959,8965,17022,5824,22846,9880,9059,18939,8508,6474,14982,9,5,14,20648,9888,30536,128942,285214,414156,10687,9764,20451,9304,6990,16294,1028,1737,2765,61675,33932,95607,14980,10120,25100,108428,135373,1721,1.022442893,126652.8222,73.59257535,2.955,32.4467
Bunyoro,Hoima City,1,2,3,2266,1720,3986,5867,3936,9803,1043,909,1952,1941,1653,3594,0,1,1,1,1426,1427,4482,3001,7483,1660,1406,3066,872,788,1660,0,1,1,2030,1489,3519,16492,51449,67941,1721,1452,3173,898,815,1713,112,231,343,11118,8220,19338,2315,1655,3970,100099,143304,227,1.036532342,128679.6114,566.8705348,1.4274,31.3484
Bunyoro,Hoima District,1,2,3,3911,2239,6150,4951,2509,7460,2137,1568,3705,3153,2849,6002,1,1,2,1,2205,2206,4854,2396,7250,3098,2795,5893,2109,1542,3651,4,5,9,3857,2183,6040,31186,75017,106203,3093,2773,5866,2067,1528,3595,696,1207,1903,14153,9167,23320,5649,2851,8500,205432,257544,1341,1.022865037,240655.8559,179.459997,1.6343,31.171
Ankole,Ibanda District,7,8,15,19716,14786,34502,35514,21555,57069,8361,7016,15377,7151,6277,13428,1,5,6,5,13681,13686,31713,18865,50578,6386,5547,11933,7609,6147,13756,1,5,6,17365,13277,30642,112674,301493,414167,6279,5388,11667,7502,6035,13537,305,791,1096,70749,49642,120391,8111,6285,14396,249625,309466,622,1.021721392,290145.2616,466.4714816,0.0966,30.4818
Busoga,Iganga District,34,19,53,30037,18056,48093,53929,26054,79983,18151,14109,32260,25978,22825,48803,30,18,48,18,17169,17187,51858,24688,76546,25065,22211,47276,17473,13484,30957,29,17,46,28196,16631,44827,246212,613183,859395,24647,21666,46313,16915,13100,30015,1871,4206,6077,128129,81063,209192,29989,22844,52833,339311,426958,633,1.023242857,398518.9621,629.57182,0.7236,33.4832
Ankole,Isingiro District,9,2,11,19619,14886,34505,34204,21570,55774,11465,9073,20538,14141,13268,27409,9,2,11,2,14588,14590,32199,20127,52326,13495,12525,26020,11195,8829,20024,9,2,11,18441,14082,32523,157156,392220,549376,13569,12760,26329,10880,8586,19466,445,1189,1634,79438,58799,138237,20888,13270,34158,486360,635077,2536,1.027038806,586227.0097,231.1620701,0.8435,30.8039
Busoga,Jinja City,146,69,215,10116,6417,16533,22781,12949,35730,6078,5208,11286,8749,8014,16763,113,28,141,28,5572,5600,18067,9472,27539,7310,6740,14050,5092,4222,9314,112,26,138,8451,5414,13865,74734,221630,296364,7096,6490,13586,4929,4106,9035,372,1245,1617,47870,32657,80527,12100,8083,20183,247074,279184,179,1.012293266,269135.8067,1503.551993,0.5349,33.2139
Busoga,Jinja District,38,26,64,16497,9211,25708,31265,15108,46373,11286,8339,19625,18488,15081,33569,34,24,58,24,8742,8766,28949,14175,43124,17465,14257,31722,10842,7994,18836,34,23,57,15415,8672,24087,149404,378049,527453,17159,14004,31163,10675,7916,18591,845,1804,2649,77574,47765,125339,22565,15107,37672,224168,280905,499,1.022818525,262520.7968,526.0937812,0.5349,33.2139
Karamoja,Kaabong District,181,114,295,5302,3805,9107,11093,5919,17012,3060,2797,5857,8421,8039,16460,13,18,31,18,3721,3739,10646,5700,16346,8233,7899,16132,3006,2665,5671,13,18,31,5178,3708,8886,61440,159166,220606,8229,7894,16123,2988,2657,5645,137,1131,1268,28057,20674,48731,15632,8153,23785,116646,264631,4751,1.085368184,206970.9808,43.56366677,3.5696,34.242
Kigezi,Kabale District,1,0,1,330,341,671,1220,1683,2903,120,75,195,184,169,353,1,0,1,0,320,320,1165,1620,2785,155,140,295,111,65,176,1,0,1,290,306,596,2136,9473,11609,150,146,296,109,64,173,1,37,38,1855,2268,4123,213,169,382,230609,285588,561,1.021612905,267843.3353,477.4391003,1.3505,30.0203
Tooro,Kabarole District,15,1,16,3603,3102,6705,8163,6148,14311,2020,1790,3810,2409,2254,4663,1,1,2,1,2682,2683,6902,5153,12055,1997,1745,3742,1780,1590,3370,1,1,2,2970,2580,5550,25328,74353,99681,1860,1663,3523,1634,1472,3106,44,211,255,16210,13295,29505,1575,2255,3830,196749,230368,1184,1.015900003,219719.8361,185.5741859,0.6833, 30.2974
Teso,Kaberamaido District,20,3,23,15630,8646,24276,14706,5369,20075,8163,6736,14899,9487,8704,18191,20,3,23,3,8307,8310,14715,4999,19714,9044,8221,17265,7840,6402,14242,20,3,23,15181,8381,23562,110184,226626,336810,9162,8359,17521,7922,6527,14449,743,1273,2016,48006,29458,77464,3726,8707,12433,105152,140986,689,1.02975959,129112.5485,187.391217,1.6325, 33.1239
Bunyoro,Kagadi District,12,12,24,11592,7575,19167,17745,10011,27756,6131,4824,10955,7282,6993,14275,9,9,18,9,7197,7206,17125,9301,26426,6810,6145,12955,5718,4513,10231,8,10,18,10751,7080,17831,82070,201424,283494,6431,5947,12378,5683,4411,10094,1018,1712,2730,42762,29415,72177,6666,7005,13671,351033,471111,1420,1.029858434,431311.1198,303.7402252,0.95,30.8
Bunyoro,Kakumiro District,6,6,12,9677,6061,15738,14353,6834,21187,5004,4025,9029,7309,6217,13526,5,4,9,4,5839,5843,13726,6475,20201,7013,5986,12999,4840,3900,8740,5,3,8,9219,5760,14979,73452,173446,246898,6930,5929,12859,4744,3815,8559,738,1881,2619,36349,23143,59492,6388,6223,12611,293108,428176,1701,1.038626657,382158.8542,224.6671688,1.0028,31.3084
Teso,Kalaki District,28,30,58,9893,4410,14303,9176,3183,12359,6027,4868,10895,6082,5911,11993,28,30,58,30,4410,4440,9176,3183,12359,6082,5911,11993,6027,4868,10895,28,30,58,9655,4269,13924,73740,150258,223998,5969,5789,11758,5845,4724,10569,563,1301,1864,31206,18402,49608,2660,5941,8601,109874,149736,658,1.031438004,136457.3207,207.3819463,,
South Central,Kalangala District,11,81,92,1357,1224,2581,3597,3681,7278,876,787,1663,1089,1088,2177,10,4,14,4,1210,1214,3475,3629,7104,1044,1070,2114,802,737,1539,10,4,14,1259,1172,2431,12196,37053,49249,1047,1055,2102,794,736,1530,37,334,371,6930,6861,13791,1465,1169,2634,54293,74411,452,1.03202289,67696.95749,149.7720298,0.6351,32.5373
Busoga,Kaliro District,46,39,85,12549,6560,19109,26866,13294,40160,7617,5271,12888,15155,13371,28526,44,37,81,37,6547,6584,26757,13269,40026,15098,13316,28414,7587,5262,12849,44,37,81,12431,6491,18922,120532,320573,441105,15034,13259,28293,7570,5242,12812,3339,5615,8954,62233,38535,100768,18919,13410,32329,286397,236199,779,0.980914059,250256.3912,321.2533905,0.8927,33.5028
South Central,Kalungu District,8,9,17,4178,3372,7550,5420,3180,8600,2069,1926,3995,2090,2178,4268,16,7,23,7,3254,3261,5050,2972,8022,1904,1989,3893,2011,1860,3871,16,7,23,3956,3214,7170,29914,68488,98402,1909,1976,3885,1944,1831,3775,138,395,533,13765,10665,24430,3242,2187,5429,174368,221569,790,1.024245869,206203.6432,261.0172699,0.0953,31.7651
Kampala,Kampala,707,659,1366,23499,19083,42582,62017,52319,114336,16314,15567,31881,20008,19255,39263,263,228,491,228,12683,12911,37183,32677,69860,12461,12077,24538,10551,9820,20371,297,249,546,14883,12338,27221,145352,586603,731955,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,28743,19914,48657,1507080,1797722,195,1.017791039,1705087.479,8744.038353,0.3152,32.5816
Kampala,Kampala District,707,659,1366,23499,19083,42582,62017,52319,114336,16314,15567,31881,20008,19255,39263,263,228,491,228,12683,12911,37183,32677,69860,12461,12077,24538,10551,9820,20371,297,249,546,14883,12338,27221,145352,586603,731955,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,28743,19914,48657,1507080,1797722,195,1.017791039,1705087.479,8744.038353,0.3152,32.5816
Busoga,Kamuli District,33,9,42,42587,23236,65823,73779,34521,108300,26376,19245,45621,50512,41748,92260,30,9,39,9,22829,22838,72275,33746,106021,49326,40781,90107,25972,18905,44877,30,9,39,40923,22280,63203,396452,957397,1353849,47711,39696,87407,25316,18326,43642,4123,7284,11407,193287,118759,312046,48393,41757,90150,486319,540252,1515,1.01057259,523472.4615,345.5263772,0.9187,33.1239
Tooro,Kamwenge District,99,146,245,24444,15246,39690,32876,16030,48906,12581,9555,22136,16332,14914,31246,99,75,174,75,14848,14923,31037,15421,46458,15914,14414,30328,12279,9292,21571,95,80,175,22636,14382,37018,178184,409036,587220,15064,13762,28826,11809,8865,20674,713,2349,3062,86332,55891,142223,19466,15060,34526,270668,337167,1695,1.022211623,315662.2279,186.2314029,0.2903,30.574
Kigezi,Kanungu District,8,8,16,10267,8108,18375,14192,8964,23156,4285,3520,7805,4341,3761,8102,11,5,16,5,7761,7766,13411,8508,21919,4192,3648,7840,4161,3409,7570,11,5,16,9995,7855,17850,66552,152272,218824,4186,3673,7859,4161,3433,7594,156,516,672,33093,24361,57454,5114,3769,8883,252144,310062,1275,1.020892447,291412.7654,228.5590317,0.8195, 29.7426
Bugisu,Kapchorwa District,4,3,7,913,830,1743,2017,1445,3462,478,424,902,429,399,828,4,3,7,3,800,803,1860,1380,3240,405,376,781,456,411,867,4,3,7,844,793,1637,6584,17645,24229,400,369,769,452,409,861,9,27,36,3841,3101,6942,429,402,831,105186,133621,212,1.024216287,124365.4325,586.6293984,1.3514,34.3754
Teso,Kapelebyong District,11,9,20,10159,4269,14428,12033,4024,16057,3753,2573,6326,2903,2571,5474,11,9,20,9,4257,4266,12020,4001,16021,2890,2561,5451,3734,2557,6291,11,9,20,10144,4257,14401,52326,118867,171193,2891,2556,5447,3734,2557,6291,638,1133,1771,28859,13446,42305,7239,2580,9819,87580,143536,1203,1.050644012,123763.9238,102.8794047,2.211,33.7518
